iter	Logloss	AUC
0	0.5151944192	0.6290029473
1	0.4699463377	0.6756862699
2	0.4570207574	0.6874779028
3	0.445575938	0.7093990535
4	0.4402988124	0.7171505336
5	0.4367045297	0.7242824197
6	0.4336344709	0.7273174762
7	0.4318672504	0.7297676673
8	0.431120067	0.7311530741
9	0.4303230909	0.7320072508
10	0.4299754263	0.7327581296
11	0.4289495253	0.7341024445
12	0.4280449076	0.7350577964
13	0.4271491998	0.7367691754
14	0.4271491189	0.7367691754
15	0.4268175987	0.7370014573
16	0.4263544401	0.7377651791
17	0.4258185041	0.738486075
18	0.4256647456	0.7386479084
19	0.4256620535	0.7386379048
20	0.4249863261	0.7393783306
21	0.4249854858	0.7393770383
22	0.4241045701	0.7409987261
23	0.4237187971	0.7415832298
24	0.4227501003	0.7433020449
25	0.4221016525	0.7444595043
26	0.4207069271	0.7478089527
27	0.4200730143	0.7486738345
28	0.4197000368	0.749241875
29	0.4193675463	0.7499174382
30	0.4190510743	0.7505314001
31	0.4186951837	0.7510666551
32	0.418467692	0.7511876321
33	0.4182935023	0.7513603231
34	0.4179425828	0.7517636062
35	0.4173452116	0.7525987362
36	0.4169387435	0.7534554362
37	0.4166184008	0.7540874119
38	0.4162302555	0.7545755349
39	0.415268345	0.7557471627
40	0.4146851761	0.756906737
41	0.4145590487	0.7570575847
42	0.4145175605	0.7571079165
43	0.4141139268	0.7576817864
44	0.4140276713	0.7577893052
45	0.4134566204	0.7588560055
46	0.4133463258	0.7590029273
47	0.4129454581	0.7595632968
48	0.4126932229	0.7599995738
49	0.4122417106	0.7607054447
50	0.4121324795	0.7608544099
51	0.4121023035	0.7609216387
52	0.4120428913	0.7610008472
53	0.4116468177	0.7616696503
54	0.4115915294	0.7617371656
55	0.4112832553	0.762384833
56	0.4109435936	0.7629693651
57	0.4107584314	0.763228257
58	0.4106609171	0.7634107482
59	0.4105439076	0.763537985
60	0.4103803859	0.7638689663
61	0.4101243236	0.7641137057
62	0.4096122308	0.764911496
63	0.4093559307	0.7653994963
64	0.4090782764	0.7658041919
65	0.408967066	0.7660249019
66	0.4087171723	0.7664997661
67	0.4083154879	0.7672953097
68	0.4080835463	0.7676667037
69	0.4079280627	0.7679050988
70	0.4079121398	0.7679338752
71	0.4076740724	0.7682412429
72	0.4074784567	0.7685979432
73	0.4073688187	0.768765866
74	0.4072189352	0.7690538801
75	0.4070056654	0.7693961995
76	0.4066873213	0.7698399429
77	0.406426018	0.7701048187
78	0.4062677578	0.7703545137
79	0.40608575	0.7707450369
80	0.4059058782	0.7710179071
81	0.4057619981	0.7712410566
82	0.4057277089	0.7712097009
83	0.4056818555	0.7712769508
84	0.4055589309	0.7714391327
85	0.4053660953	0.7716554099
86	0.4050806955	0.7720400786
87	0.4049758574	0.7721276498
88	0.4048780927	0.7722458414
89	0.4047515612	0.7725601409
90	0.4045858758	0.772773807
91	0.4044516482	0.7730380452
92	0.4044115959	0.7730985958
93	0.4043387475	0.7732053741
94	0.4041125674	0.7736198184
95	0.4039114177	0.7738845015
96	0.403769549	0.7741339839
97	0.4034194903	0.7745639352
98	0.4033221193	0.7747273236
99	0.4031646153	0.7749740853
100	0.4030792813	0.7751094551
101	0.4030227841	0.7752370985
102	0.4029377896	0.7752918288
103	0.402625765	0.7758578574
104	0.4024969485	0.7760959093
105	0.402350593	0.7763612973
106	0.4020068335	0.7769409769
107	0.4018122718	0.7771820596
108	0.4016337153	0.7774571211
109	0.4015841649	0.7775270376
110	0.4014389483	0.7776632615
111	0.4013132167	0.7778402044
112	0.4012466806	0.777908356
113	0.4010966697	0.7780935679
114	0.4010303467	0.7782131271
115	0.4009869322	0.7782488523
116	0.4009166133	0.7783051628
117	0.400846274	0.7783946494
118	0.4006458923	0.778670664
119	0.4005522312	0.7788097551
120	0.4003086547	0.7791498739
121	0.3997226218	0.7799315884
122	0.3996216382	0.7800545033
123	0.3995738412	0.7801449799
124	0.3994477637	0.7803382733
125	0.3992296621	0.7807117649
126	0.3991262073	0.7809039798
127	0.3990546929	0.7810627163
128	0.3989978968	0.7811404595
129	0.3988903307	0.7812768814
130	0.398621494	0.7817636131
131	0.3984781996	0.7819457518
132	0.3984563986	0.7819958738
133	0.3982092086	0.7822119464
134	0.3980658723	0.7825092446
135	0.3980162709	0.7826080377
136	0.3979687672	0.7826632763
137	0.3978331932	0.782850265
138	0.397824012	0.7828586237
139	0.397716321	0.7830188162
140	0.3976525544	0.7831117469
141	0.3974072432	0.7835904327
142	0.3973333439	0.7837385162
143	0.3972291558	0.7839086502
144	0.3970729319	0.7840570861
145	0.396986741	0.7841083354
146	0.3967841345	0.7843813692
147	0.3966108045	0.784658069
148	0.39652287	0.7847690596
149	0.3965127611	0.784783657
150	0.3964799622	0.7848667056
151	0.3962636184	0.7851587935
152	0.3960275863	0.7854819533
153	0.3959192833	0.7855771307
154	0.3959027306	0.7856066331
155	0.3958749666	0.7856516477
156	0.3958643352	0.7856455661
157	0.3956993439	0.7859559145
158	0.3955695824	0.7861579085
159	0.3954352813	0.7863086625
160	0.3954247058	0.7863208151
161	0.3952984601	0.7865131211
162	0.3951598984	0.7867412473
163	0.3951365751	0.786774933
164	0.3951209932	0.7868014995
165	0.3950504425	0.7869421245
166	0.395011779	0.7869925461
167	0.3947807712	0.7872655774
168	0.3944878957	0.7877104138
169	0.3942743368	0.7879483245
170	0.3942672259	0.7879450243
171	0.394229638	0.7879722957
172	0.394219864	0.7879899108
173	0.3940278568	0.78828452
174	0.3940120199	0.7883522914
175	0.3936271887	0.7889478804
176	0.3935700124	0.7890019085
177	0.3934642993	0.7891968454
178	0.3932564601	0.7895092413
179	0.3931840338	0.7896255135
180	0.3930342761	0.7897982982
181	0.3930007108	0.7898323324
182	0.3929809554	0.7898664155
183	0.3928562517	0.7901129356
184	0.39284809	0.7901335433
185	0.3928304669	0.7901095866
186	0.3928097269	0.7901152207
187	0.3927846872	0.7901369333
188	0.3927434333	0.7901917745
189	0.3926691219	0.7901981901
190	0.3925260925	0.790408655
191	0.3923717269	0.7906682202
192	0.3923606125	0.7906748337
193	0.3923319767	0.7906973199
194	0.3921128548	0.7909893365
195	0.3919440104	0.7912683688
196	0.3919052283	0.791299912
197	0.3917473013	0.7915695176
198	0.3917009087	0.7916091291
199	0.3915808794	0.7918653994
200	0.3915463008	0.7919193627
